idt,sex,pari,city,migra,pari2,pari3,dens1,denscat1,age,agegr,civ3,civ4,educ,occup,mpm
60003,2,0,1,0,1,1,3,3,16,1,1,1,1,1,0
60101,2,7,1,1,2,3,5,3,39,2,2,2,1,2,1
60102,2,1,3,1,2,2,1,2,38,2,2,2,1,2,0
60301,2,1,3,1,2,2,2,3,50,3,2,2,1,2,1
60502,2,1,3,1,2,2,1.5,2,19,1,2,2,1,2,1
60502,2,3,1,1,2,3,3.5,3,50,3,2,2,1,2,1
60703,1,0,1,1,1,1,2.5,3,15,1,1,1,1,1,0
60902,2,0,1,1,1,1,1.5,2,42,2,2,2,2,2,0
61202,2,0,1,1,1,1,.5,1,41,2,2,2,1,1,1
61206,2,4,3,0,2,3,1,2,26,1,2,2,1,1,1
61302,2,0,1,1,1,1,1,2,38,2,2,2,1,1,1
61605,2,6,3,0,2,3,3.3,3,37,2,2,2,1,2,1
61801,1,0,1,1,1,1,1.5,2,41,2,2,2,1,1,1
62002,2,0,1,1,1,1,1,2,39,2,2,2,1,1,1
62302,2,5,3,1,2,3,5,3,44,2,2,2,1,1,0
62501,1,3,3,1,2,3,2,3,43,2,2,2,1,1,1
62603,1,0,1,1,1,1,1,2,22,1,1,1,2,1,0
62803,2,0,1,0,1,1,.8,1,18,1,1,1,1,2,1
63801,1,0,1,1,1,1,.5,1,52,3,2,2,1,1,0
63903,2,0,1,1,1,1,1,2,21,1,1,1,2,1,0
64102,2,2,3,0,2,2,1.3,2,39,2,2,2,2,2,1
64203,1,0,3,0,1,1,.3,1,35,2,1,1,2,1,0
64205,1,0,1,0,1,1,.6,1,17,1,1,1,2,1,0
64301,1,2,3,1,2,2,1.3,2,45,3,2,2,1,1,0
64701,1,2,1,1,2,2,1,2,55,3,2,2,2,1,0
64803,1,0,1,0,1,1,.7,1,21,1,1,1,2,1,1
65504,1,0,1,0,1,1,1.7,2,17,1,1,1,1,1,0
65702,2,1,3,0,2,2,1,2,45,3,2,2,1,1,0
65803,2,,1,1,,,2.5,3,32,2,3,4,1,1,1
66002,2,0,3,1,1,1,.4,1,60,3,2,2,2,2,1
66105,1,0,1,0,1,1,.7,1,15,1,1,1,1,1,1
66402,2,1,3,1,2,2,1.7,2,48,3,2,2,1,1,1
66603,1,0,3,1,1,1,1,2,71,3,2,2,1,1,0
66904,2,0,3,1,1,1,.7,1,23,1,1,1,2,1,0
67001,1,0,3,1,1,1,.5,1,29,1,3,4,2,1,0
67101,2,0,3,1,1,1,1,2,28,1,2,2,2,1,0
67202,1,3,1,1,2,3,1.5,2,29,1,2,2,2,1,0
67404,2,0,3,0,1,1,.5,1,19,1,1,1,2,1,1
67601,1,2,3,0,2,2,.7,1,44,2,2,2,2,1,0
67601,2,0,1,1,1,1,1,2,62,3,3,4,1,1,1
67803,2,0,3,0,1,1,1.3,2,20,1,1,1,1,2,1
68201,2,0,1,1,1,1,2,3,37,2,1,1,1,1,1
68504,1,0,1,0,1,1,1.5,2,19,1,1,1,2,1,0
68603,1,0,1,0,1,1,.6,1,25,1,1,1,2,1,0
68802,2,3,1,1,2,3,.6,1,32,2,2,2,2,2,1
68901,1,0,3,1,1,1,.5,1,59,3,2,2,1,1,1
68902,2,0,3,1,1,1,.5,1,58,3,2,2,1,2,1
69004,1,0,3,1,1,1,.8,1,29,1,1,1,9,1,0
69005,2,0,3,0,1,1,.8,1,26,1,1,1,2,1,0
69102,2,1,1,1,2,2,4,3,33,2,2,2,1,1,0
69301,2,1,1,1,2,2,3,3,32,2,2,2,1,3,1
69401,2,0,1,1,1,1,2,3,20,1,1,1,1,1,1
70102,2,3,1,1,2,3,1.7,2,45,3,2,2,1,2,1
70302,2,,1,1,,,1.2,2,57,3,2,2,1,2,1
70501,2,4,3,1,2,3,.7,1,43,2,2,2,2,1,1
70503,1,0,1,0,1,1,2,3,18,1,1,1,1,1,0
70602,2,0,3,1,1,1,1,2,46,3,2,2,1,1,0
70701,2,1,3,1,2,2,1,2,40,2,3,4,1,1,1
70806,1,0,1,0,1,1,2,3,18,1,1,1,1,1,0
71403,2,5,1,1,2,3,4,3,26,1,2,2,1,2,1
71501,1,3,1,1,2,3,1,2,43,2,2,2,1,1,1
71502,1,0,3,1,1,1,1.6,2,42,2,1,1,1,1,1
71602,2,,1,1,,,1.5,2,55,3,2,2,1,2,1
71702,2,5,1,1,2,3,1.5,2,45,3,2,2,1,1,1
72402,2,1,1,0,2,2,1,2,27,1,2,2,2,2,0
72502,2,0,3,0,1,1,1,2,26,1,1,1,1,1,0
72602,2,1,1,1,2,2,1,2,23,1,2,2,1,2,0
72801,2,0,3,1,1,1,.7,1,51,3,3,4,1,2,1
73202,2,0,1,1,1,1,2,3,79,3,2,2,1,1,1
73502,2,0,3,0,1,1,.8,1,25,1,1,1,2,1,0
73602,2,5,1,1,2,3,3.5,3,34,2,2,2,1,1,1
73802,2,3,1,1,2,3,1,2,25,1,2,2,1,2,1
74002,2,1,1,1,2,2,.6,1,37,2,2,2,2,,1
74101,2,10,3,0,2,3,3.8,3,51,3,2,2,1,2,1
74102,2,3,1,1,2,3,1.8,3,35,2,2,2,1,2,1
74201,2,1,3,0,2,2,.5,1,47,3,3,4,1,1,1
74502,2,0,1,1,1,1,.8,1,50,3,2,2,1,2,1
75601,1,0,3,1,1,1,6,3,61,3,2,2,1,1,0
77401,2,4,3,1,2,3,6,3,25,1,2,2,1,2,0
78503,2,0,3,0,1,1,1.5,2,16,1,1,1,1,1,1
78602,2,0,3,1,1,1,1,2,52,3,2,2,1,1,1
79702,2,0,3,0,1,1,1,2,16,1,1,1,1,1,1
80302,2,2,3,0,2,2,1,2,36,2,2,2,2,1,0
81302,2,0,3,1,1,1,1,2,49,3,2,2,1,2,1
81401,1,0,3,1,1,1,.7,1,80,3,2,2,1,1,0
81402,2,0,3,1,1,1,.7,1,76,3,2,2,2,2,0
82101,1,0,3,1,1,1,2,3,45,3,2,2,1,1,1
82302,1,0,3,1,1,1,.5,1,49,3,2,2,2,1,0
82501,1,0,3,1,1,1,1,2,48,3,2,2,2,1,1
82602,2,0,3,1,1,1,.4,1,53,3,2,2,2,1,0
82702,2,0,3,1,1,1,.8,1,41,2,1,1,2,1,0
82801,1,2,3,1,2,2,1,2,45,3,2,2,2,1,0
84002,2,0,3,1,1,1,1,2,74,3,2,2,1,1,0
84003,1,0,3,0,1,1,1,2,40,2,1,1,2,1,0
85304,2,0,3,0,1,1,.6,1,25,1,2,2,2,1,0
85501,2,0,3,0,1,1,.3,1,45,3,3,3,1,1,1
85502,2,0,3,0,1,1,.3,1,21,1,1,1,2,1,1
86002,2,0,3,1,1,1,.6,1,57,3,2,2,1,2,0
86303,2,0,3,0,1,1,1,2,17,1,1,1,1,1,1
87401,1,0,3,0,1,1,.6,1,52,3,2,2,2,1,0
87403,1,0,3,0,1,1,.6,1,23,1,1,1,2,3,0
88401,1,3,3,0,2,3,.8,1,39,2,2,2,2,1,0
88606,1,0,3,0,1,1,.8,1,15,1,1,1,1,1,0
90201,1,0,3,1,1,1,.4,1,60,3,2,2,2,1,1
90601,2,0,3,1,1,1,.2,1,26,1,1,1,2,1,1
91202,2,3,3,1,2,3,2.5,3,36,2,2,2,1,1,1
91501,2,0,3,1,1,1,.3,1,82,3,3,3,1,1,0
92702,1,0,3,1,1,1,.5,1,63,3,2,2,2,1,0
94103,1,0,3,1,1,1,1.3,2,22,1,2,2,2,1,1
94501,2,0,3,1,1,1,.2,1,64,3,3,3,2,1,0
94902,2,0,3,0,1,1,2,3,36,2,2,2,2,1,0
95901,2,0,3,1,1,1,1,2,69,3,3,3,1,1,0
97601,1,0,3,1,1,1,.8,1,77,3,2,2,1,1,1
98002,2,3,3,0,2,3,1.7,2,37,2,2,2,2,2,1
98301,2,2,3,0,2,2,.8,1,40,2,3,3,2,1,0
99203,2,0,3,1,1,1,1,2,44,2,1,1,2,1,1
99603,1,0,3,1,1,1,2.2,3,21,1,1,1,1,1,0
100502,2,1,3,0,2,2,.6,1,35,2,2,2,2,1,1
100701,2,0,3,0,1,1,.3,1,56,3,1,1,2,1,0
100902,2,0,3,1,1,1,.6,1,74,3,2,2,1,2,1
101501,1,3,3,1,2,3,1,2,51,3,2,2,2,1,1
101502,2,3,3,1,2,3,1,2,40,2,2,2,2,2,1
101801,2,1,3,1,2,2,1,2,48,3,2,2,2,1,0
102101,2,1,3,1,2,2,.6,1,40,2,2,2,1,1,1
102904,2,0,3,0,1,1,.8,1,23,1,1,1,2,1,0
103601,2,0,3,1,1,1,.8,1,74,3,1,1,1,1,0
104401,1,2,3,0,2,2,1.7,2,41,2,2,2,2,1,0
106901,2,0,3,1,1,1,.5,1,50,3,1,1,2,1,0
107202,2,1,3,1,2,2,.6,1,45,3,2,2,2,1,1
108602,2,2,3,1,2,2,.8,1,40,2,2,2,1,2,0
108702,2,3,3,1,2,3,3,3,41,2,2,2,1,3,1
108802,2,1,3,1,2,2,.7,1,33,2,2,2,1,2,1
109004,1,0,3,0,1,1,4,3,22,1,1,1,1,1,0
110203,1,0,3,1,1,1,.9,1,18,1,1,1,2,3,0
110701,2,2,3,1,2,2,1.7,2,51,3,2,2,1,3,1
